subplot_epsilon,ligand_monomer_count,series_label,row_type,point_index,x_raw,x_normalized,y,fit_alpha,fit_nu,M,plot_color_index
10,1,monoligand (N=1),fit,12,13,0.9585714285714286,2.115343343612538,2.156802078164472,0.6309539850002157,15,1
10,3,polyligand (N=3),scatter,0,1,0.071428571,2.5018997192382812,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,1,2,0.14285714285714285,3.1537647247314453,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,2,3,0.21428571428571427,3.579286575317383,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,3,4,0.2857142857142857,3.9074833393096924,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,4,5,0.35714285714285715,4.015194416046143,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,5,6,0.42857142857142855,4.105167865753174,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,6,7,0.5,4.145848274230957,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,7,8,0.5714285714285714,4.0564680099487305,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,8,9,0.6428571428571429,4.080849647521973,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,9,10,0.7142857142857143,3.9997520446777344,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,10,11,0.7857142857142857,3.860048532485962,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,11,12,0.8571428571428571,3.6020870208740234,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,12,13,0.9285714285714286,3.2375075817108154,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),scatter,13,14,1,2.728811025619507,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,0,1,0.10142857142857142,2.867761696364173,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,1,2,0.17285714285714285,3.3981865147444106,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,2,3,0.24428571428571427,3.7113338487689873,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,3,4,0.3157142857142857,3.914316570393251,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,4,5,0.3871428571428571,4.044037696095724,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,5,6,0.4585714285714285,4.116931796146269,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,6,7,0.53,4.140496416115764,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,7,8,0.6014285714285714,4.116931796146269,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,8,9,0.6728571428571429,4.044037696095724,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,9,10,0.7442857142857143,3.914316570393251,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,10,11,0.8157142857142857,3.7113338487689873,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,11,12,0.8871428571428571,3.3981865147444106,2.927196823624051,0.6384022544750866,15,1
10,3,polyligand (N=3),fit,12,13,0.9585714285714286,2.867761696364173,2.927196823624051,0.6384022544750866,15,1
10,5,polyligand (N=5),scatter,0,1,0.071428571,4.677351951599121,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,1,2,0.14285714285714285,5.502202033996582,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,2,3,0.21428571428571427,6.001841068267822,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,3,4,0.2857142857142857,6.338186740875244,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,4,5,0.35714285714285715,6.607478618621826,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,5,6,0.42857142857142855,6.811194896697998,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,6,7,0.5,6.860838890075684,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,7,8,0.5714285714285714,6.7973737716674805,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,8,9,0.6428571428571429,6.795143127441406,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,9,10,0.7142857142857143,6.6121392250061035,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,10,11,0.7857142857142857,6.3680291175842285,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,11,12,0.8571428571428571,6.040405750274658,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,12,13,0.9285714285714286,5.561432838439941,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),scatter,13,14,1,4.585343360900879,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),fit,0,1,0.10142857142857142,5.072429414524718,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),fit,1,2,0.17285714285714285,5.810849745,5.156445058630374,0.6108350570278558,15,1
10,5,polyligand (N=5),fit,2,3,0.24428571428571427,6.235872409,5.156445058630374,0.6108350570278558,15,1
